"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
7008,http://www.wikidata.org/entity/Q125727467,,local-politician,NA,NA,NA,NA,7008,
7009,http://www.wikidata.org/entity/Q125746438,,writer,NA,NA,NA,NA,7009,
7010,http://www.wikidata.org/entity/Q125753936,,researcher,NA,NA,NA,NA,7010,
7011,http://www.wikidata.org/entity/Q125756349,,university-teacher,NA,sociology,music,musicology,7011,
7012,http://www.wikidata.org/entity/Q125807048,,NA,NA,NA,NA,NA,7012,
7013,http://www.wikidata.org/entity/Q125807835,,NA,NA,sociology,gender-studies,sociology-of-the-family,7013,
7014,http://www.wikidata.org/entity/Q125810372,,writer,NA,NA,NA,NA,7014,
7015,http://www.wikidata.org/entity/Q125814495,,NA,NA,NA,NA,NA,7015,
7016,http://www.wikidata.org/entity/Q125836,,university-teacher,NA,sociology,ethnology,NA,7016,
7017,http://www.wikidata.org/entity/Q125839395,,professor,NA,sociology,NA,NA,7017,
7018,http://www.wikidata.org/entity/Q125843224,,educator,NA,NA,NA,NA,7018,
7019,http://www.wikidata.org/entity/Q12584346,,NA,NA,NA,NA,NA,7019,
7020,http://www.wikidata.org/entity/Q12584502,,NA,NA,NA,NA,NA,7020,
7021,http://www.wikidata.org/entity/Q12584850,,NA,NA,NA,NA,NA,7021,
7022,http://www.wikidata.org/entity/Q125856611,,university-teacher,NA,sociology,philosophy,german-studies,7022,
7023,http://www.wikidata.org/entity/Q125867901,,NA,NA,NA,NA,NA,7023,
7024,http://www.wikidata.org/entity/Q125877356,,NA,NA,NA,NA,NA,7024,
7025,http://www.wikidata.org/entity/Q125880614,,politician,NA,NA,NA,NA,7025,
7026,http://www.wikidata.org/entity/Q125881691,,NA,NA,NA,NA,NA,7026,
7027,http://www.wikidata.org/entity/Q12588223,,academic,NA,NA,NA,NA,7027,
7028,http://www.wikidata.org/entity/Q12588848,,NA,NA,NA,NA,NA,7028,
7029,http://www.wikidata.org/entity/Q12589307,,NA,NA,NA,NA,NA,7029,
7030,http://www.wikidata.org/entity/Q125926340,,historian,NA,NA,NA,NA,7030,
7031,http://www.wikidata.org/entity/Q125927566,,NA,NA,rural-sociology,NA,NA,7031,
7032,http://www.wikidata.org/entity/Q125931990,,NA,NA,NA,NA,NA,7032,
7033,http://www.wikidata.org/entity/Q12594440,,NA,NA,NA,NA,NA,7033,
7034,http://www.wikidata.org/entity/Q125956811,,university-teacher,NA,NA,NA,NA,7034,
7035,http://www.wikidata.org/entity/Q125957634,,scientist,NA,sociology,history,NA,7035,
7036,http://www.wikidata.org/entity/Q125957911,,university-teacher,NA,sociology,gender-studies,anthropology,7036,
7037,http://www.wikidata.org/entity/Q12596640,,politician,NA,agricultural-economics,NA,NA,7037,
7038,http://www.wikidata.org/entity/Q125973526,,politician,NA,NA,NA,NA,7038,
7039,http://www.wikidata.org/entity/Q125985612,,politician,NA,NA,NA,NA,7039,
7040,http://www.wikidata.org/entity/Q125986047,,NA,NA,history-of-sociology,NA,NA,7040,
7041,http://www.wikidata.org/entity/Q125987995,,librarian,NA,NA,NA,NA,7041,
7042,http://www.wikidata.org/entity/Q125999633,,NA,NA,NA,NA,NA,7042,
7043,http://www.wikidata.org/entity/Q126000482,,university-teacher,NA,sociology,cinematography,business-journalism,7043,
7044,http://www.wikidata.org/entity/Q126000715,,cultural-anthropologist,NA,international-migration,migration-policy,NA,7044,
7045,http://www.wikidata.org/entity/Q126000806,,writer,NA,NA,NA,NA,7045,
7046,http://www.wikidata.org/entity/Q126005384,,NA,NA,NA,NA,NA,7046,
7047,http://www.wikidata.org/entity/Q126005864,,NA,NA,NA,NA,NA,7047,
7048,http://www.wikidata.org/entity/Q126006565,,NA,NA,NA,NA,NA,7048,
7049,http://www.wikidata.org/entity/Q126006718,,NA,NA,NA,NA,NA,7049,
7050,http://www.wikidata.org/entity/Q126006789,,journalist,NA,NA,NA,NA,7050,
7051,http://www.wikidata.org/entity/Q126009766,,university-teacher,NA,sociology,NA,NA,7051,
7052,http://www.wikidata.org/entity/Q12601451,,NA,NA,NA,NA,NA,7052,
7053,http://www.wikidata.org/entity/Q126025369,,protestant-theologian,NA,sociology-of-religion,pastoral-care,protestant-theology,7053,
7054,http://www.wikidata.org/entity/Q126026353,,editor,NA,sociology,historical-sociology,NA,7054,
7055,http://www.wikidata.org/entity/Q126026860,,economist,NA,sociology,economics,urbanism,7055,
7056,http://www.wikidata.org/entity/Q12602897,,NA,NA,NA,NA,NA,7056,
7057,http://www.wikidata.org/entity/Q12606472,,university-teacher,NA,law,postcolonialism,sexual-abuse,7057,
7058,http://www.wikidata.org/entity/Q126076946,,university-teacher,NA,NA,NA,NA,7058,
7059,http://www.wikidata.org/entity/Q126096926,,political-scientist,NA,NA,NA,NA,7059,
7060,http://www.wikidata.org/entity/Q126097879,,NA,NA,NA,NA,NA,7060,
7061,http://www.wikidata.org/entity/Q126102540,,writer,NA,NA,NA,NA,7061,
7062,http://www.wikidata.org/entity/Q12610313,,NA,NA,NA,NA,NA,7062,
7063,http://www.wikidata.org/entity/Q12610592,,politician,NA,NA,NA,NA,7063,
7064,http://www.wikidata.org/entity/Q12611325,,NA,NA,NA,NA,NA,7064,
7065,http://www.wikidata.org/entity/Q126118584,,NA,NA,sociology-of-culture,urban-sociology,NA,7065,
7066,http://www.wikidata.org/entity/Q126125976,,scientist,NA,social-research,statistics,quantitative-method,7066,
7067,http://www.wikidata.org/entity/Q126126856,,NA,NA,sociology-of-education,NA,NA,7067,
7068,http://www.wikidata.org/entity/Q12612806,,NA,NA,NA,NA,NA,7068,
7069,http://www.wikidata.org/entity/Q12614621,,NA,NA,NA,NA,NA,7069,
7070,http://www.wikidata.org/entity/Q12614742,,NA,NA,NA,NA,NA,7070,
7071,http://www.wikidata.org/entity/Q12614771,,NA,NA,NA,NA,NA,7071,
7072,http://www.wikidata.org/entity/Q1261657,,university-teacher,NA,NA,NA,NA,7072,
7073,http://www.wikidata.org/entity/Q12616927,,NA,NA,NA,NA,NA,7073,
7074,http://www.wikidata.org/entity/Q12617140,,NA,NA,NA,NA,NA,7074,
7075,http://www.wikidata.org/entity/Q126195270,,NA,NA,NA,NA,NA,7075,
7076,http://www.wikidata.org/entity/Q1262309,,university-teacher,NA,NA,NA,NA,7076,
7077,http://www.wikidata.org/entity/Q126279848,,NA,NA,NA,NA,NA,7077,
7078,http://www.wikidata.org/entity/Q126282317,,NA,NA,NA,NA,NA,7078,
7079,http://www.wikidata.org/entity/Q126292408,,university-teacher,NA,anthropology,media-culture,anthropological-linguistics,7079,
7080,http://www.wikidata.org/entity/Q12629980,,NA,NA,NA,NA,NA,7080,
7081,http://www.wikidata.org/entity/Q12630271,,university-teacher,NA,sociology,literature,NA,7081,
7082,http://www.wikidata.org/entity/Q12630669,,NA,NA,NA,NA,NA,7082,
7083,http://www.wikidata.org/entity/Q1263139,,university-teacher,NA,NA,NA,NA,7083,
7084,http://www.wikidata.org/entity/Q1263206,,university-teacher,NA,NA,NA,NA,7084,
7085,http://www.wikidata.org/entity/Q126325352,,university-teacher,NA,sociology,political-science,philosophy,7085,
7086,http://www.wikidata.org/entity/Q126326700,,university-teacher,NA,NA,NA,NA,7086,
7087,http://www.wikidata.org/entity/Q126326947,,university-teacher,NA,NA,NA,NA,7087,
7088,http://www.wikidata.org/entity/Q12633141,,catholic-priest,NA,NA,NA,NA,7088,
7089,http://www.wikidata.org/entity/Q126365029,,university-teacher,NA,NA,NA,NA,7089,
7090,http://www.wikidata.org/entity/Q126365122,,academic,NA,NA,NA,NA,7090,
7091,http://www.wikidata.org/entity/Q126370062,,university-teacher,NA,NA,NA,NA,7091,
7092,http://www.wikidata.org/entity/Q126373071,,politician,NA,NA,NA,NA,7092,
7093,http://www.wikidata.org/entity/Q126373681,,researcher,NA,NA,NA,NA,7093,
7094,http://www.wikidata.org/entity/Q126374,,university-teacher,NA,NA,NA,NA,7094,
7095,http://www.wikidata.org/entity/Q12638852,,legal-historian,NA,NA,NA,NA,7095,
7096,http://www.wikidata.org/entity/Q12639141,,university-teacher,NA,sociology,philosophy,editing,7096,
7097,http://www.wikidata.org/entity/Q126392886,,NA,NA,NA,NA,NA,7097,
7098,http://www.wikidata.org/entity/Q12641442,,politician,NA,NA,NA,NA,7098,
7099,http://www.wikidata.org/entity/Q126421887,,NA,NA,NA,NA,NA,7099,
7100,http://www.wikidata.org/entity/Q12644672,,NA,NA,NA,NA,NA,7100,
7101,http://www.wikidata.org/entity/Q1264562,,writer,NA,sociology,demography,economic-history,7101,
7102,http://www.wikidata.org/entity/Q12645884,,NA,NA,NA,NA,NA,7102,
7103,http://www.wikidata.org/entity/Q12647398,,NA,NA,NA,NA,NA,7103,
7104,http://www.wikidata.org/entity/Q12647548,,NA,NA,NA,NA,NA,7104,
7105,http://www.wikidata.org/entity/Q126476485,,university-teacher,NA,NA,NA,NA,7105,
7106,http://www.wikidata.org/entity/Q1264831,,university-teacher,NA,NA,NA,NA,7106,
7107,http://www.wikidata.org/entity/Q126485973,,NA,NA,NA,NA,NA,7107,
7108,http://www.wikidata.org/entity/Q126488324,,geographer,NA,NA,NA,NA,7108,
7109,http://www.wikidata.org/entity/Q126519840,,urban-sociologist,NA,sociology,NA,NA,7109,
7110,http://www.wikidata.org/entity/Q126528250,,university-teacher,NA,globalization,climate-change,agriculture,7110,
7111,http://www.wikidata.org/entity/Q126532,,university-teacher,NA,NA,NA,NA,7111,
7112,http://www.wikidata.org/entity/Q126539857,,NA,NA,NA,NA,NA,7112,
7113,http://www.wikidata.org/entity/Q126540026,,writer,NA,NA,NA,NA,7113,
7114,http://www.wikidata.org/entity/Q1265475,,researcher,NA,informatics,NA,NA,7114,
7115,http://www.wikidata.org/entity/Q12655069,,NA,NA,NA,NA,NA,7115,
7116,http://www.wikidata.org/entity/Q12655405,,NA,NA,NA,NA,NA,7116,
7117,http://www.wikidata.org/entity/Q126591453,,university-teacher,NA,anthropology,ethnographical-research,multinational-corporation,7117,
7118,http://www.wikidata.org/entity/Q12662283,,NA,NA,NA,NA,NA,7118,
7119,http://www.wikidata.org/entity/Q126688670,,NA,NA,NA,NA,NA,7119,
7120,http://www.wikidata.org/entity/Q126693914,,NA,NA,NA,NA,NA,7120,
7121,http://www.wikidata.org/entity/Q126699325,,NA,NA,NA,NA,NA,7121,
7122,http://www.wikidata.org/entity/Q12670041,,NA,NA,NA,NA,NA,7122,
7123,http://www.wikidata.org/entity/Q12672079,,NA,NA,NA,NA,NA,7123,
7124,http://www.wikidata.org/entity/Q126723065,,university-teacher,NA,sociology,social-research,demography,7124,
7125,http://www.wikidata.org/entity/Q126727035,,NA,NA,NA,NA,NA,7125,
7126,http://www.wikidata.org/entity/Q12672911,,NA,NA,NA,NA,NA,7126,
7127,http://www.wikidata.org/entity/Q12677013,,NA,NA,NA,NA,NA,7127,
7128,http://www.wikidata.org/entity/Q12678000,,NA,NA,NA,NA,NA,7128,
7129,http://www.wikidata.org/entity/Q12678927,,NA,NA,NA,NA,NA,7129,
7130,http://www.wikidata.org/entity/Q126801476,,military-personnel,NA,NA,NA,NA,7130,
7131,http://www.wikidata.org/entity/Q126811830,,protestant-theologian,NA,sociology-of-religion,pastoral-care,protestant-theology,7131,
7132,http://www.wikidata.org/entity/Q126832367,,NA,NA,NA,NA,NA,7132,
7133,http://www.wikidata.org/entity/Q12688113,,NA,NA,NA,NA,NA,7133,
7134,http://www.wikidata.org/entity/Q126882026,,writer,NA,NA,NA,NA,7134,
7135,http://www.wikidata.org/entity/Q126886890,,historian,NA,NA,NA,NA,7135,
7136,http://www.wikidata.org/entity/Q126889958,,musicologist,NA,sociology-of-culture,sociomusicology,NA,7136,
7137,http://www.wikidata.org/entity/Q126902271,,university-teacher,NA,NA,NA,NA,7137,
7138,http://www.wikidata.org/entity/Q126910231,,writer,NA,NA,NA,NA,7138,
7139,http://www.wikidata.org/entity/Q126918449,,NA,NA,NA,NA,NA,7139,
7140,http://www.wikidata.org/entity/Q126923534,,civil-servant,NA,NA,NA,NA,7140,
7141,http://www.wikidata.org/entity/Q126923612,,anthropologist,NA,sociology,psychology,social-psychology,7141,
7142,http://www.wikidata.org/entity/Q126924952,,psychologist,NA,sociology,psychology,pedagogy,7142,
7143,http://www.wikidata.org/entity/Q126925022,,university-teacher,NA,NA,NA,NA,7143,
7144,http://www.wikidata.org/entity/Q126936375,,university-teacher,NA,NA,NA,NA,7144,
7145,http://www.wikidata.org/entity/Q126949162,,political-analyst,NA,NA,NA,NA,7145,
7146,http://www.wikidata.org/entity/Q126949268,,writer,NA,NA,NA,NA,7146,
7147,http://www.wikidata.org/entity/Q126951527,,editor-in-chief,NA,sociology,journalism,media-studies,7147,
7148,http://www.wikidata.org/entity/Q126959158,,ethnologist,NA,sociology,ethnology,ethnic-group,7148,
7149,http://www.wikidata.org/entity/Q126959266,,psychologist,NA,NA,NA,NA,7149,
7150,http://www.wikidata.org/entity/Q126965644,,politician,NA,NA,NA,NA,7150,
7151,http://www.wikidata.org/entity/Q126974434,,historian,NA,NA,NA,NA,7151,
7152,http://www.wikidata.org/entity/Q1269856,,university-teacher,NA,sociology,NA,NA,7152,
7153,http://www.wikidata.org/entity/Q127024096,,NA,NA,NA,NA,NA,7153,
7154,http://www.wikidata.org/entity/Q1270285,,pedagogue,NA,NA,NA,NA,7154,
7155,http://www.wikidata.org/entity/Q1270317,,university-teacher,NA,sociology,journalism,german-studies,7155,
7156,http://www.wikidata.org/entity/Q127110505,,university-teacher,NA,NA,NA,NA,7156,
7157,http://www.wikidata.org/entity/Q1271239,,university-teacher,NA,NA,NA,NA,7157,
7158,http://www.wikidata.org/entity/Q12714532,,NA,NA,NA,NA,NA,7158,
7159,http://www.wikidata.org/entity/Q12715276,,writer,NA,live-action-role-playing-game,NA,NA,7159,
7160,http://www.wikidata.org/entity/Q12716170,,NA,NA,NA,NA,NA,7160,
7161,http://www.wikidata.org/entity/Q1271771,,writer,NA,NA,NA,NA,7161,
7162,http://www.wikidata.org/entity/Q12718257,,NA,NA,NA,NA,NA,7162,
7163,http://www.wikidata.org/entity/Q12720454,,researcher,NA,NA,NA,NA,7163,
7164,http://www.wikidata.org/entity/Q12720692,,university-teacher,NA,sociology,economic-sociology,NA,7164,
7165,http://www.wikidata.org/entity/Q12720801,,statistician,NA,NA,NA,NA,7165,
7166,http://www.wikidata.org/entity/Q12725495,,philosopher,NA,NA,NA,NA,7166,
7167,http://www.wikidata.org/entity/Q12725838,,historian,NA,NA,NA,NA,7167,
7168,http://www.wikidata.org/entity/Q127268829,,university-teacher,NA,NA,NA,NA,7168,
7169,http://www.wikidata.org/entity/Q127274371,,university-teacher,NA,social-work,child-care,performative-pedagogy,7169,
7170,http://www.wikidata.org/entity/Q127274401,,university-teacher,NA,mental-health,child-care,child,7170,
7171,http://www.wikidata.org/entity/Q127274444,,university-teacher,NA,sociology,sociology-of-the-family,gender-equality,7171,
7172,http://www.wikidata.org/entity/Q127275197,,university-teacher,NA,sociology,social-research,social-structure,7172,
7173,http://www.wikidata.org/entity/Q127277678,,university-teacher,NA,sociology,cultural-anthropology,globalization,7173,
7174,http://www.wikidata.org/entity/Q12727817,,writer,NA,NA,NA,NA,7174,
7175,http://www.wikidata.org/entity/Q12729246,,politician,NA,NA,NA,NA,7175,
7176,http://www.wikidata.org/entity/Q1272982,,university-teacher,NA,NA,NA,NA,7176,
7177,http://www.wikidata.org/entity/Q12731979,,university-teacher,NA,sociology,feminism,literary-activity,7177,
7178,http://www.wikidata.org/entity/Q1273492,,university-teacher,NA,NA,NA,NA,7178,
7179,http://www.wikidata.org/entity/Q12735168,,researcher,NA,NA,NA,NA,7179,
7180,http://www.wikidata.org/entity/Q12735737,,political-scientist,NA,political-science,sociology-of-religion,history-of-religions,7180,
7181,http://www.wikidata.org/entity/Q12737656,,university-teacher,NA,NA,NA,NA,7181,
7182,http://www.wikidata.org/entity/Q12737671,,politician,NA,NA,NA,NA,7182,
7183,http://www.wikidata.org/entity/Q12737676,,philosopher,NA,NA,NA,NA,7183,
7184,http://www.wikidata.org/entity/Q12739011,,writer,NA,NA,NA,NA,7184,
7185,http://www.wikidata.org/entity/Q12739571,,ethnologist,NA,NA,NA,NA,7185,
7186,http://www.wikidata.org/entity/Q1273964,,writer,NA,NA,NA,NA,7186,
7187,http://www.wikidata.org/entity/Q12740294,,anthropologist,NA,NA,NA,NA,7187,
7188,http://www.wikidata.org/entity/Q12742452,,politician,NA,NA,NA,NA,7188,
7189,http://www.wikidata.org/entity/Q12742614,,mayor,NA,NA,NA,NA,7189,
7190,http://www.wikidata.org/entity/Q12743641,,NA,NA,NA,NA,NA,7190,
7191,http://www.wikidata.org/entity/Q12744342,,political-scientist,NA,sociology,political-science,philosophy,7191,
7192,http://www.wikidata.org/entity/Q12747420,,NA,NA,NA,NA,NA,7192,
7193,http://www.wikidata.org/entity/Q12749351,,NA,NA,NA,NA,NA,7193,
7194,http://www.wikidata.org/entity/Q127510341,,university-teacher,NA,NA,NA,NA,7194,
7195,http://www.wikidata.org/entity/Q12755374,,NA,NA,NA,NA,NA,7195,
7196,http://www.wikidata.org/entity/Q12755542,,university-teacher,NA,sociology,economics,sociology-of-culture,7196,
7197,http://www.wikidata.org/entity/Q12756140,,NA,NA,NA,NA,NA,7197,
7198,http://www.wikidata.org/entity/Q127564779,,NA,NA,NA,NA,NA,7198,
7199,http://www.wikidata.org/entity/Q12759474,,university-teacher,NA,sociology,political-science,political-sociology,7199,
7200,http://www.wikidata.org/entity/Q127604526,,translator,NA,sociology,translation-from-french,NA,7200,
7201,http://www.wikidata.org/entity/Q127605824,,anthropologist,NA,NA,NA,NA,7201,
7202,http://www.wikidata.org/entity/Q12768245,,philosopher,NA,NA,NA,NA,7202,
7203,http://www.wikidata.org/entity/Q127690316,,university-teacher,NA,immigration,civil-society,climate-change,7203,
7204,http://www.wikidata.org/entity/Q12770633,,university-teacher,NA,sociology,demography,NA,7204,
7205,http://www.wikidata.org/entity/Q127711082,,politician,NA,gender-violence,NA,NA,7205,
7206,http://www.wikidata.org/entity/Q12773490,,editing-staff,NA,sociology,editing,NA,7206,
7207,http://www.wikidata.org/entity/Q1277457,,university-teacher,NA,NA,NA,NA,7207,
7208,http://www.wikidata.org/entity/Q12781478,,NA,NA,NA,NA,NA,7208,
7209,http://www.wikidata.org/entity/Q12784500,,psychologist,NA,NA,NA,NA,7209,
7210,http://www.wikidata.org/entity/Q12784530,,editor,NA,NA,NA,NA,7210,
7211,http://www.wikidata.org/entity/Q12784557,,musician,NA,NA,NA,NA,7211,
7212,http://www.wikidata.org/entity/Q12784629,,university-teacher,NA,NA,NA,NA,7212,
7213,http://www.wikidata.org/entity/Q12784633,,politician,NA,sociology,history,politics,7213,
7214,http://www.wikidata.org/entity/Q12785289,,university-teacher,NA,NA,NA,NA,7214,
7215,http://www.wikidata.org/entity/Q12786044,,university-teacher,NA,NA,NA,NA,7215,
7216,http://www.wikidata.org/entity/Q12786079,,university-teacher,NA,anthropology,ethnology,NA,7216,
7217,http://www.wikidata.org/entity/Q12786273,,university-teacher,NA,NA,NA,NA,7217,
7218,http://www.wikidata.org/entity/Q12786371,,politician,NA,NA,NA,NA,7218,
7219,http://www.wikidata.org/entity/Q12786410,,university-teacher,NA,NA,NA,NA,7219,
7220,http://www.wikidata.org/entity/Q127867293,,NA,NA,NA,NA,NA,7220,
7221,http://www.wikidata.org/entity/Q127867391,,university-teacher,NA,sociology,NA,NA,7221,
7222,http://www.wikidata.org/entity/Q12787811,,politician,NA,NA,NA,NA,7222,
7223,http://www.wikidata.org/entity/Q12789349,,pedagogue,NA,NA,NA,NA,7223,
7224,http://www.wikidata.org/entity/Q1278946,,writer,NA,NA,NA,NA,7224,
7225,http://www.wikidata.org/entity/Q12791647,,politician,NA,NA,NA,NA,7225,
7226,http://www.wikidata.org/entity/Q12791655,,politician,NA,NA,NA,NA,7226,
7227,http://www.wikidata.org/entity/Q12792038,,NA,NA,NA,NA,NA,7227,
7228,http://www.wikidata.org/entity/Q12792193,,politician,NA,NA,NA,NA,7228,
7229,http://www.wikidata.org/entity/Q12792820,,university-teacher,NA,NA,NA,NA,7229,
7230,http://www.wikidata.org/entity/Q12792903,,university-teacher,NA,NA,NA,NA,7230,
7231,http://www.wikidata.org/entity/Q12793007,,politician,NA,NA,NA,NA,7231,
7232,http://www.wikidata.org/entity/Q12793482,,politician,NA,NA,NA,NA,7232,
7233,http://www.wikidata.org/entity/Q1279396,,journalist,NA,sociology,NA,NA,7233,
7234,http://www.wikidata.org/entity/Q12794430,,university-teacher,NA,sociology,NA,NA,7234,
7235,http://www.wikidata.org/entity/Q12795420,,writer,NA,NA,NA,NA,7235,
7236,http://www.wikidata.org/entity/Q12795737,,NA,NA,NA,NA,NA,7236,
7237,http://www.wikidata.org/entity/Q12796068,,NA,NA,NA,NA,NA,7237,
7238,http://www.wikidata.org/entity/Q12796342,,politician,NA,NA,NA,NA,7238,
7239,http://www.wikidata.org/entity/Q12796996,,university-teacher,NA,NA,NA,NA,7239,
7240,http://www.wikidata.org/entity/Q12797222,,historian,NA,NA,NA,NA,7240,
7241,http://www.wikidata.org/entity/Q12798457,,university-teacher,NA,education,educational-system,education-policy,7241,
7242,http://www.wikidata.org/entity/Q12798672,,politician,NA,NA,NA,NA,7242,
7243,http://www.wikidata.org/entity/Q12798754,,NA,NA,NA,NA,NA,7243,
7244,http://www.wikidata.org/entity/Q1279952,,university-teacher,NA,sociology-of-religion,NA,NA,7244,
7245,http://www.wikidata.org/entity/Q12800222,,politician,NA,NA,NA,NA,7245,
7246,http://www.wikidata.org/entity/Q12800285,,philosopher,NA,NA,NA,NA,7246,
7247,http://www.wikidata.org/entity/Q12800523,,university-teacher,NA,sociology,political-science,human-rights,7247,
7248,http://www.wikidata.org/entity/Q128007419,,NA,NA,NA,NA,NA,7248,
7249,http://www.wikidata.org/entity/Q12802691,,politician,NA,NA,NA,NA,7249,
7250,http://www.wikidata.org/entity/Q12803536,,politician,NA,NA,NA,NA,7250,
7251,http://www.wikidata.org/entity/Q12804141,,university-teacher,NA,NA,NA,NA,7251,
7252,http://www.wikidata.org/entity/Q12805083,,geographer,NA,NA,NA,NA,7252,
7253,http://www.wikidata.org/entity/Q12805780,,psychologist,NA,NA,NA,NA,7253,
7254,http://www.wikidata.org/entity/Q12805959,,university-teacher,NA,NA,NA,NA,7254,
7255,http://www.wikidata.org/entity/Q12805963,,philosopher,NA,NA,NA,NA,7255,
7256,http://www.wikidata.org/entity/Q12806081,,NA,NA,NA,NA,NA,7256,
7257,http://www.wikidata.org/entity/Q12806084,,politician,NA,NA,NA,NA,7257,
7258,http://www.wikidata.org/entity/Q12806568,,university-teacher,NA,sociology,memoir-literature,guerrilla-organization,7258,
7259,http://www.wikidata.org/entity/Q12806582,,university-teacher,NA,sociology,NA,NA,7259,
7260,http://www.wikidata.org/entity/Q12806738,,painter,NA,NA,NA,NA,7260,
7261,http://www.wikidata.org/entity/Q128073,,philosopher,NA,NA,NA,NA,7261,
7262,http://www.wikidata.org/entity/Q12810266,,university-teacher,NA,sociology,sociology-of-religion,political-sociology,7262,
7263,http://www.wikidata.org/entity/Q1281258,,university-teacher,NA,sociology,pedagogy,adult-education,7263,
7264,http://www.wikidata.org/entity/Q128126,,writer,NA,cultural-anthropology,structuralism,NA,7264,
7265,http://www.wikidata.org/entity/Q12812864,,author,NA,NA,NA,NA,7265,
7266,http://www.wikidata.org/entity/Q1281359,,university-teacher,NA,NA,NA,NA,7266,
7267,http://www.wikidata.org/entity/Q1281394,,political-scientist,NA,NA,NA,NA,7267,
7268,http://www.wikidata.org/entity/Q12816086,,NA,NA,NA,NA,NA,7268,
7269,http://www.wikidata.org/entity/Q12816992,,politician,NA,NA,NA,NA,7269,
7270,http://www.wikidata.org/entity/Q128179,,university-teacher,NA,philosophy,NA,NA,7270,
7271,http://www.wikidata.org/entity/Q1282121,,university-teacher,NA,NA,NA,NA,7271,
7272,http://www.wikidata.org/entity/Q128221238,,NA,NA,sociology,NA,NA,7272,
7273,http://www.wikidata.org/entity/Q128221294,,historian,NA,sociology,history,NA,7273,
7274,http://www.wikidata.org/entity/Q1282782,,writer,NA,sociology,sociology-of-culture,social-philosophy,7274,
7275,http://www.wikidata.org/entity/Q1282957,,philosopher,NA,sociology,philosophy,law,7275,
7276,http://www.wikidata.org/entity/Q128301280,,politician,NA,NA,NA,NA,7276,
7277,http://www.wikidata.org/entity/Q128304757,,ecologist,NA,NA,NA,NA,7277,
7278,http://www.wikidata.org/entity/Q1283460,,university-teacher,NA,NA,NA,NA,7278,
7279,http://www.wikidata.org/entity/Q128402226,,religious-studies-scholar,NA,NA,NA,NA,7279,
7280,http://www.wikidata.org/entity/Q12842459,,physician,NA,medicine,surgery,NA,7280,
7281,http://www.wikidata.org/entity/Q1284587,,university-teacher,NA,NA,NA,NA,7281,
7282,http://www.wikidata.org/entity/Q12849928,,opinion-journalist,NA,NA,NA,NA,7282,
7283,http://www.wikidata.org/entity/Q128511,,politician,NA,propaganda,NA,NA,7283,
7284,http://www.wikidata.org/entity/Q1285554,,professor,NA,NA,NA,NA,7284,
7285,http://www.wikidata.org/entity/Q1285604,,philosopher,NA,sociology,philosophy,logic,7285,
7286,http://www.wikidata.org/entity/Q1285718,,university-teacher,NA,sociology,politics,NA,7286,
7287,http://www.wikidata.org/entity/Q1285852,,university-teacher,NA,NA,NA,NA,7287,
7288,http://www.wikidata.org/entity/Q12859528,,university-teacher,NA,social-work,adopted-child,child-welfare,7288,
7289,http://www.wikidata.org/entity/Q128602316,,writer,NA,NA,NA,NA,7289,
7290,http://www.wikidata.org/entity/Q128622446,,NA,NA,NA,NA,NA,7290,
7291,http://www.wikidata.org/entity/Q1286248,,university-teacher,NA,NA,NA,NA,7291,
7292,http://www.wikidata.org/entity/Q1286283,,writer,NA,sociology,literature,german-studies,7292,
7293,http://www.wikidata.org/entity/Q128652093,,university-teacher,NA,NA,NA,NA,7293,
7294,http://www.wikidata.org/entity/Q1286810,,writer,NA,NA,NA,NA,7294,
7295,http://www.wikidata.org/entity/Q128693926,,NA,NA,NA,NA,NA,7295,
7296,http://www.wikidata.org/entity/Q12872875,,university-teacher,NA,NA,NA,NA,7296,
7297,http://www.wikidata.org/entity/Q1287511,,university-teacher,NA,NA,NA,NA,7297,
7298,http://www.wikidata.org/entity/Q12876084,,NA,NA,NA,NA,NA,7298,
7299,http://www.wikidata.org/entity/Q128779955,,NA,NA,NA,NA,NA,7299,
7300,http://www.wikidata.org/entity/Q12879717,,university-teacher,NA,NA,NA,NA,7300,
7301,http://www.wikidata.org/entity/Q1287980,,university-teacher,NA,NA,NA,NA,7301,
7302,http://www.wikidata.org/entity/Q12881093,,politician,NA,NA,NA,NA,7302,
7303,http://www.wikidata.org/entity/Q12881664,,university-teacher,NA,sociology,political-science,history,7303,
7304,http://www.wikidata.org/entity/Q128838701,,university-teacher,NA,sociology,NA,NA,7304,
7305,http://www.wikidata.org/entity/Q128840833,,NA,NA,NA,NA,NA,7305,
7306,http://www.wikidata.org/entity/Q1288629,,political-scientist,NA,NA,NA,NA,7306,
7307,http://www.wikidata.org/entity/Q1288664,,NA,NA,NA,NA,NA,7307,
7308,http://www.wikidata.org/entity/Q12889383,,ethnologist,NA,NA,NA,NA,7308,
7309,http://www.wikidata.org/entity/Q12891814,,writer,NA,NA,NA,NA,7309,
7310,http://www.wikidata.org/entity/Q12891927,,university-teacher,NA,sociology,diplomacy,humanities,7310,
7311,http://www.wikidata.org/entity/Q128919392,,university-teacher,NA,sociology,sociology-of-culture,culturology,7311,
7312,http://www.wikidata.org/entity/Q1289271,,information-scientist,NA,NA,NA,NA,7312,
