"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
123,http://www.wikidata.org/entity/Q102200516,,university-teacher,NA,sociology-of-culture,NA,NA,123,
124,http://www.wikidata.org/entity/Q102202622,,university-teacher,NA,sociology,sociology-of-culture,culture,124,
125,http://www.wikidata.org/entity/Q102209447,,university-teacher,NA,NA,NA,NA,125,
126,http://www.wikidata.org/entity/Q102216,,NA,NA,NA,NA,NA,126,
127,http://www.wikidata.org/entity/Q102221913,,statistician,NA,NA,NA,NA,127,
128,http://www.wikidata.org/entity/Q102237643,,university-teacher,NA,sociology,media-culture,sociology-of-knowledge,128,
129,http://www.wikidata.org/entity/Q102238481,,university-teacher,NA,NA,NA,NA,129,
130,http://www.wikidata.org/entity/Q102238494,,NA,NA,NA,NA,NA,130,
131,http://www.wikidata.org/entity/Q1022431,,university-teacher,NA,NA,NA,NA,131,
132,http://www.wikidata.org/entity/Q102243305,,university-teacher,NA,NA,NA,NA,132,
133,http://www.wikidata.org/entity/Q102246720,,NA,NA,NA,NA,NA,133,
134,http://www.wikidata.org/entity/Q102261070,,NA,NA,NA,NA,NA,134,
135,http://www.wikidata.org/entity/Q102267568,,university-teacher,NA,sociology,sociology-of-education,sociology-of-youth,135,
136,http://www.wikidata.org/entity/Q102277,,university-teacher,NA,sociology,marxism,NA,136,
137,http://www.wikidata.org/entity/Q102317676,,university-teacher,NA,sociology,gender-studies,urban-sociology,137,
138,http://www.wikidata.org/entity/Q102326141,,research-professor,NA,NA,NA,NA,138,
139,http://www.wikidata.org/entity/Q102341342,,NA,NA,NA,NA,NA,139,
140,http://www.wikidata.org/entity/Q102352343,,academic,NA,NA,NA,NA,140,
141,http://www.wikidata.org/entity/Q102355281,,NA,NA,NA,NA,NA,141,
142,http://www.wikidata.org/entity/Q102367218,,university-teacher,NA,sociology,immigration,ethnic-groups-of-the-united-states,142,
143,http://www.wikidata.org/entity/Q102380797,,university-teacher,NA,social-inequality,public-health,reproductive-health,143,
144,http://www.wikidata.org/entity/Q102410701,,historian,NA,NA,NA,NA,144,
145,http://www.wikidata.org/entity/Q102434,,university-teacher,NA,NA,NA,NA,145,
146,http://www.wikidata.org/entity/Q102440440,,politician,NA,NA,NA,NA,146,
147,http://www.wikidata.org/entity/Q102476,,university-teacher,NA,sociology,sociology-of-religion,sociology-of-immigration,147,
148,http://www.wikidata.org/entity/Q102495,,university-teacher,NA,NA,NA,NA,148,
149,http://www.wikidata.org/entity/Q102500016,,economist,NA,NA,NA,NA,149,
150,http://www.wikidata.org/entity/Q102626373,,NA,NA,NA,NA,NA,150,
151,http://www.wikidata.org/entity/Q10263971,,writer,NA,NA,NA,NA,151,
152,http://www.wikidata.org/entity/Q10267663,,writer,NA,NA,NA,NA,152,
153,http://www.wikidata.org/entity/Q10268271,,writer,NA,NA,NA,NA,153,
154,http://www.wikidata.org/entity/Q10270660,,writer,NA,NA,NA,NA,154,
155,http://www.wikidata.org/entity/Q102738459,,NA,NA,sociology,social-theory,NA,155,
156,http://www.wikidata.org/entity/Q102741456,,researcher,NA,NA,NA,NA,156,
157,http://www.wikidata.org/entity/Q10278387,,university-teacher,NA,gender-studies,interpersonal-relationship,NA,157,
158,http://www.wikidata.org/entity/Q102812,,political-scientist,NA,political-science,NA,NA,158,
159,http://www.wikidata.org/entity/Q10283043,,university-teacher,NA,sociology,pedagogy,feminism,159,
160,http://www.wikidata.org/entity/Q10285385,,writer,NA,sociology,NA,NA,160,
161,http://www.wikidata.org/entity/Q102859199,,university-teacher,NA,sociology,gender,social-inequality,161,
162,http://www.wikidata.org/entity/Q102860680,,university-teacher,NA,sociology,NA,NA,162,
163,http://www.wikidata.org/entity/Q102867418,,university-teacher,NA,sociology-of-religion,economic-history,NA,163,
164,http://www.wikidata.org/entity/Q102867576,,NA,NA,NA,NA,NA,164,
165,http://www.wikidata.org/entity/Q102867711,,university-teacher,NA,NA,NA,NA,165,
166,http://www.wikidata.org/entity/Q10287853,,professor,NA,NA,NA,NA,166,
167,http://www.wikidata.org/entity/Q10288670,,writer,NA,NA,NA,NA,167,
168,http://www.wikidata.org/entity/Q10290043,,NA,NA,NA,NA,NA,168,
169,http://www.wikidata.org/entity/Q10294685,,writer,NA,NA,NA,NA,169,
170,http://www.wikidata.org/entity/Q10294993,,university-teacher,NA,sociology,political-science,social-ethics,170,
171,http://www.wikidata.org/entity/Q1029622,,politician,NA,NA,NA,NA,171,
172,http://www.wikidata.org/entity/Q10296967,,professor,NA,social-science,human-migration,human-rights,172,
173,http://www.wikidata.org/entity/Q10299608,,psychologist,NA,NA,NA,NA,173,
174,http://www.wikidata.org/entity/Q103030334,,NA,NA,sociology,demography,NA,174,
175,http://www.wikidata.org/entity/Q103034281,,NA,NA,NA,NA,NA,175,
176,http://www.wikidata.org/entity/Q10303757,,film-director,NA,NA,NA,NA,176,
177,http://www.wikidata.org/entity/Q1030404,,university-teacher,NA,criminology,NA,NA,177,
178,http://www.wikidata.org/entity/Q10304595,,NA,NA,NA,NA,NA,178,
179,http://www.wikidata.org/entity/Q10306541,,journalist,NA,NA,NA,NA,179,
180,http://www.wikidata.org/entity/Q10306556,,university-teacher,NA,sociology-of-culture,NA,NA,180,
181,http://www.wikidata.org/entity/Q10308077,,writer,NA,sociology,political-science,journalism,181,
182,http://www.wikidata.org/entity/Q10308228,,university-teacher,NA,NA,NA,NA,182,
183,http://www.wikidata.org/entity/Q10308266,,NA,NA,NA,NA,NA,183,
184,http://www.wikidata.org/entity/Q10309889,,politician,NA,NA,NA,NA,184,
185,http://www.wikidata.org/entity/Q10310170,,politician,NA,NA,NA,NA,185,
186,http://www.wikidata.org/entity/Q103106570,,NA,NA,NA,NA,NA,186,
187,http://www.wikidata.org/entity/Q10310858,,NA,NA,NA,NA,NA,187,
188,http://www.wikidata.org/entity/Q10312074,,musician,NA,NA,NA,NA,188,
189,http://www.wikidata.org/entity/Q10312195,,writer,NA,NA,NA,NA,189,
190,http://www.wikidata.org/entity/Q10312656,,NA,NA,NA,NA,NA,190,
191,http://www.wikidata.org/entity/Q10312682,,politician,NA,NA,NA,NA,191,
192,http://www.wikidata.org/entity/Q10313832,,NA,NA,NA,NA,NA,192,
193,http://www.wikidata.org/entity/Q10314734,,economist,NA,demography,NA,NA,193,
194,http://www.wikidata.org/entity/Q103157904,,anthropologist,NA,economics,anthropology,sociology-of-scientific-knowledge,194,
195,http://www.wikidata.org/entity/Q103158081,,NA,NA,sociology,social-network,social-networking-service,195,
196,http://www.wikidata.org/entity/Q10316621,,NA,NA,NA,NA,NA,196,
197,http://www.wikidata.org/entity/Q1031841,,politician,NA,NA,NA,NA,197,
198,http://www.wikidata.org/entity/Q10320312,,political-scientist,NA,NA,NA,NA,198,
199,http://www.wikidata.org/entity/Q10320558,,writer,NA,NA,NA,NA,199,
200,http://www.wikidata.org/entity/Q10320674,,NA,NA,NA,NA,NA,200,
201,http://www.wikidata.org/entity/Q10320899,,politician,NA,NA,NA,NA,201,
202,http://www.wikidata.org/entity/Q103218062,,university-teacher,NA,sociology,gender,NA,202,
203,http://www.wikidata.org/entity/Q103224929,,university-teacher,NA,sociology,management,organizational-behavior-studies,203,
204,http://www.wikidata.org/entity/Q10324025,,university-teacher,NA,sociology,political-science,political-sociology,204,
205,http://www.wikidata.org/entity/Q10325269,,university-teacher,NA,NA,NA,NA,205,
206,http://www.wikidata.org/entity/Q10325390,,university-teacher,NA,NA,NA,NA,206,
207,http://www.wikidata.org/entity/Q10325855,,historian,NA,sociology,political-science,history,207,
208,http://www.wikidata.org/entity/Q10325884,,teacher,NA,NA,NA,NA,208,
209,http://www.wikidata.org/entity/Q10325955,,university-teacher,NA,sociology,demography,NA,209,
210,http://www.wikidata.org/entity/Q10326178,,NA,NA,NA,NA,NA,210,
211,http://www.wikidata.org/entity/Q10327679,,teacher,NA,NA,NA,NA,211,
212,http://www.wikidata.org/entity/Q103277833,,university-teacher,NA,sociology,human-population-planning,human-population-control,212,
213,http://www.wikidata.org/entity/Q1032787,,composer,NA,NA,NA,NA,213,
214,http://www.wikidata.org/entity/Q103278834,,NA,NA,NA,NA,NA,214,
215,http://www.wikidata.org/entity/Q1032918,,writer,NA,NA,NA,NA,215,
216,http://www.wikidata.org/entity/Q1032992,,university-teacher,NA,sociology,political-science,law,216,
217,http://www.wikidata.org/entity/Q103311,,university-teacher,NA,NA,NA,NA,217,
218,http://www.wikidata.org/entity/Q103316680,,NA,NA,NA,NA,NA,218,
219,http://www.wikidata.org/entity/Q103322724,,journalist,NA,NA,NA,NA,219,
220,http://www.wikidata.org/entity/Q103324640,,NA,NA,NA,NA,NA,220,
221,http://www.wikidata.org/entity/Q1033265,,journalist,NA,NA,NA,NA,221,
222,http://www.wikidata.org/entity/Q10333245,,journalist,NA,NA,NA,NA,222,
223,http://www.wikidata.org/entity/Q10334265,,NA,NA,NA,NA,NA,223,
224,http://www.wikidata.org/entity/Q10334502,,NA,NA,NA,NA,NA,224,
225,http://www.wikidata.org/entity/Q103347361,,NA,NA,sociology,political-science,NA,225,
226,http://www.wikidata.org/entity/Q10336359,,university-teacher,NA,NA,NA,NA,226,
227,http://www.wikidata.org/entity/Q10336952,,university-teacher,NA,NA,NA,NA,227,
228,http://www.wikidata.org/entity/Q103381,,writer,NA,sociology,sociology-of-culture,german-language-literature,228,
229,http://www.wikidata.org/entity/Q10340144,,writer,NA,NA,NA,NA,229,
230,http://www.wikidata.org/entity/Q10340715,,politician,NA,sociology,history,law,230,
231,http://www.wikidata.org/entity/Q10341230,,NA,NA,NA,NA,NA,231,
232,http://www.wikidata.org/entity/Q103445,,university-teacher,NA,NA,NA,NA,232,
233,http://www.wikidata.org/entity/Q10346501,,anthropologist,NA,political-science,social-science,NA,233,
234,http://www.wikidata.org/entity/Q10346835,,politician,NA,NA,NA,NA,234,
235,http://www.wikidata.org/entity/Q10346891,,writer,NA,NA,NA,NA,235,
236,http://www.wikidata.org/entity/Q10347589,,historian,NA,NA,NA,NA,236,
237,http://www.wikidata.org/entity/Q10358643,,university-teacher,NA,sociology,creative-and-professional-writing,mythology,237,
238,http://www.wikidata.org/entity/Q10361071,,NA,NA,NA,NA,NA,238,
239,http://www.wikidata.org/entity/Q10361287,,historian,NA,gender-studies,public-health,human-sexuality,239,
240,http://www.wikidata.org/entity/Q1036496,,opinion-journalist,NA,NA,NA,NA,240,
241,http://www.wikidata.org/entity/Q10365438,,NA,NA,NA,NA,NA,241,
242,http://www.wikidata.org/entity/Q103658,,political-scientist,NA,sociology,political-science,the-holocaust,242,
243,http://www.wikidata.org/entity/Q10367523,,politician,NA,NA,NA,NA,243,
244,http://www.wikidata.org/entity/Q103680,,university-teacher,NA,NA,NA,NA,244,
245,http://www.wikidata.org/entity/Q1036829,,university-teacher,NA,NA,NA,NA,245,
246,http://www.wikidata.org/entity/Q10370239,,university-teacher,NA,sociology,NA,NA,246,
247,http://www.wikidata.org/entity/Q1037213,,NA,NA,NA,NA,NA,247,
248,http://www.wikidata.org/entity/Q1037247,,politician,NA,NA,NA,NA,248,
