person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q125548266,Klári László,1947,female,Esztergom,POINT (18.740278 47.785555),Eastern Europe,Hungary,Austria Hungary,1971-1995,6990,university-teacher,education
http://www.wikidata.org/entity/Q3165878,Jean-François Sabouret,1946,male,Le Poinçonnet,POINT (1.718889 46.763889),Western Europe,France,France,1971-1995,12059,researcher,publisher
http://www.wikidata.org/entity/Q3166419,Jean-Jacques Simard,1945,male,Canada,POINT (-109 56),Northern America,Canada,United States Can.,1971-1995,12061,university-teacher,publisher
http://www.wikidata.org/entity/Q3167845,Jean-Marie Tremblay,1948,male,Jonquière,POINT (-71.25 48.416667),Northern America,Canada,United States Can.,1971-1995,12068,other,other
http://www.wikidata.org/entity/Q3167950,Jean-Michel Berthelot,1945,male,Jonzac,POINT (-0.433611 45.446667),Western Europe,France,France,1971-1995,12069,philosopher,publisher
http://www.wikidata.org/entity/Q3170193,Jean-Yves Potel,1948,male,Château-Gontier,POINT (-0.702778 47.828611),Western Europe,France,France,1971-1995,12089,university-teacher,publisher
http://www.wikidata.org/entity/Q3170641,Jean Baubérot,1941,male,Châteauponsac,POINT (1.276111 46.133889),Western Europe,France,France,1971-1995,12091,university-teacher,education
http://www.wikidata.org/entity/Q3168718,Jean-Paul Willaime,1947,male,Charleville-Mézières,POINT (4.719444 49.76),Western Europe,France,France,1971-1995,12074,university-teacher,education
http://www.wikidata.org/entity/Q3175020,Jean Viard,1949,male,Metz,POINT (6.176944 49.119722),Western Europe,France,France,1971-1995,12106,writer,publisher
http://www.wikidata.org/entity/Q3158759,Jacques Donzelot,1943,male,France,POINT (2 47),Western Europe,France,France,1971-1995,12033,university-teacher,institution
http://www.wikidata.org/entity/Q1264831,Manfred Prisching,1950,male,Bruck an der Mur,POINT (15.268611 47.410556),Western Europe,Austria,Austria Hungary,1971-1995,7106,university-teacher,publisher
